PassengerId,Survived,Pclass,Title,Sex,Age,FamilySize,IsAlone,Fare
1,0,3,Mr,male,22.0,2,0,7.25
2,1,1,Mrs,female,38.0,2,0,71.28
3,1,3,Miss,female,26.0,1,1,7.92
4,1,1,Mrs,female,35.0,2,0,53.1
5,0,3,Mr,male,35.0,1,1,8.05
6,0,3,Mr,male,29.69911764705882,1,1,8.46
7,0,1,Mr,male,54.0,1,1,51.86
8,0,3,Master,male,2.0,5,0,21.08
9,1,3,Mrs,female,27.0,3,0,11.13
10,1,2,Mrs,female,14.0,2,0,30.07
11,1,3,Miss,female,4.0,3,0,16.7
12,1,1,Miss,female,58.0,1,1,26.55
13,0,3,Mr,male,20.0,1,1,8.05
14,0,3,Mr,male,39.0,7,0,31.28
15,0,3,Miss,female,14.0,1,1,7.85
16,1,2,Mrs,female,55.0,1,1,16.0
17,0,3,Master,male,2.0,6,0,29.12
18,1,2,Mr,male,29.69911764705882,1,1,13.0
19,0,3,Mrs,female,31.0,2,0,18.0
20,1,3,Mrs,female,29.69911764705882,1,1,7.22
21,0,2,Mr,male,35.0,1,1,26.0
22,1,2,Mr,male,34.0,1,1,13.0
23,1,3,Miss,female,15.0,1,1,8.03
24,1,1,Mr,male,28.0,1,1,35.5
25,0,3,Miss,female,8.0,5,0,21.08
26,1,3,Mrs,female,38.0,7,0,31.39
27,0,3,Mr,male,29.69911764705882,1,1,7.22
28,0,1,Mr,male,19.0,6,0,263.0
29,1,3,Miss,female,29.69911764705882,1,1,7.88
30,0,3,Mr,male,29.69911764705882,1,1,7.9
31,0,1,Don,male,40.0,1,1,27.72
32,1,1,Mrs,female,29.69911764705882,2,0,146.52
33,1,3,Miss,female,29.69911764705882,1,1,7.75
34,0,2,Mr,male,66.0,1,1,10.5
35,0,1,Mr,male,28.0,2,0,82.17
36,0,1,Mr,male,42.0,2,0,52.0
37,1,3,Mr,male,29.69911764705882,1,1,7.23
38,0,3,Mr,male,21.0,1,1,8.05
39,0,3,Miss,female,18.0,3,0,18.0
40,1,3,Miss,female,14.0,2,0,11.24
41,0,3,Mrs,female,40.0,2,0,9.48
42,0,2,Mrs,female,27.0,2,0,21.0
43,0,3,Mr,male,29.69911764705882,1,1,7.9
44,1,2,Miss,female,3.0,4,0,41.58
45,1,3,Miss,female,19.0,1,1,7.88
46,0,3,Mr,male,29.69911764705882,1,1,8.05
47,0,3,Mr,male,29.69911764705882,2,0,15.5
48,1,3,Miss,female,29.69911764705882,1,1,7.75
49,0,3,Mr,male,29.69911764705882,3,0,21.68
50,0,3,Mrs,female,18.0,2,0,17.8
51,0,3,Master,male,7.0,6,0,39.69
52,0,3,Mr,male,21.0,1,1,7.8
53,1,1,Mrs,female,49.0,2,0,76.73
54,1,2,Mrs,female,29.0,2,0,26.0
55,0,1,Mr,male,65.0,2,0,61.98
56,1,1,Mr,male,29.69911764705882,1,1,35.5
57,1,2,Miss,female,21.0,1,1,10.5
58,0,3,Mr,male,28.5,1,1,7.23
59,1,2,Miss,female,5.0,4,0,27.75
60,0,3,Master,male,11.0,8,0,46.9
61,0,3,Mr,male,22.0,1,1,7.23
62,1,1,Miss,female,38.0,1,1,80.0
63,0,1,Mr,male,45.0,2,0,83.48
64,0,3,Master,male,4.0,6,0,27.9
65,0,1,Mr,male,29.69911764705882,1,1,27.72
66,1,3,Master,male,29.69911764705882,3,0,15.25
67,1,2,Mrs,female,29.0,1,1,10.5
68,0,3,Mr,male,19.0,1,1,8.16
69,1,3,Miss,female,17.0,7,0,7.92
70,0,3,Mr,male,26.0,3,0,8.66
71,0,2,Mr,male,32.0,1,1,10.5
72,0,3,Miss,female,16.0,8,0,46.9
73,0,2,Mr,male,21.0,1,1,73.5
74,0,3,Mr,male,26.0,2,0,14.45
75,1,3,Mr,male,32.0,1,1,56.5
76,0,3,Mr,male,25.0,1,1,7.65
77,0,3,Mr,male,29.69911764705882,1,1,7.9
78,0,3,Mr,male,29.69911764705882,1,1,8.05
79,1,2,Master,male,0.83,3,0,29.0
80,1,3,Miss,female,30.0,1,1,12.48
81,0,3,Mr,male,22.0,1,1,9.0
82,1,3,Mr,male,29.0,1,1,9.5
83,1,3,Miss,female,29.69911764705882,1,1,7.79
84,0,1,Mr,male,28.0,1,1,47.1
85,1,2,Miss,female,17.0,1,1,10.5
86,1,3,Mrs,female,33.0,4,0,15.85
87,0,3,Mr,male,16.0,5,0,34.38
88,0,3,Mr,male,29.69911764705882,1,1,8.05
89,1,1,Miss,female,23.0,6,0,263.0
90,0,3,Mr,male,24.0,1,1,8.05
91,0,3,Mr,male,29.0,1,1,8.05
92,0,3,Mr,male,20.0,1,1,7.85
93,0,1,Mr,male,46.0,2,0,61.18
94,0,3,Mr,male,26.0,4,0,20.58
95,0,3,Mr,male,59.0,1,1,7.25
96,0,3,Mr,male,29.69911764705882,1,1,8.05
97,0,1,Mr,male,71.0,1,1,34.65
98,1,1,Mr,male,23.0,2,0,63.36
99,1,2,Mrs,female,34.0,2,0,23.0
100,0,2,Mr,male,34.0,2,0,26.0
101,0,3,Miss,female,28.0,1,1,7.9
102,0,3,Mr,male,29.69911764705882,1,1,7.9
103,0,1,Mr,male,21.0,2,0,77.29
104,0,3,Mr,male,33.0,1,1,8.65
105,0,3,Mr,male,37.0,3,0,7.92
106,0,3,Mr,male,28.0,1,1,7.9
107,1,3,Miss,female,21.0,1,1,7.65
108,1,3,Mr,male,29.69911764705882,1,1,7.78
109,0,3,Mr,male,38.0,1,1,7.9
110,1,3,Miss,female,29.69911764705882,2,0,24.15
111,0,1,Mr,male,47.0,1,1,52.0
112,0,3,Miss,female,14.5,2,0,14.45
113,0,3,Mr,male,22.0,1,1,8.05
114,0,3,Miss,female,20.0,2,0,9.82
115,0,3,Miss,female,17.0,1,1,14.46
116,0,3,Mr,male,21.0,1,1,7.92
117,0,3,Mr,male,70.5,1,1,7.75
118,0,2,Mr,male,29.0,2,0,21.0
119,0,1,Mr,male,24.0,2,0,247.52
120,0,3,Miss,female,2.0,7,0,31.28
121,0,2,Mr,male,21.0,3,0,73.5
122,0,3,Mr,male,29.69911764705882,1,1,8.05
123,0,2,Mr,male,32.5,2,0,30.07
124,1,2,Miss,female,32.5,1,1,13.0
125,0,1,Mr,male,54.0,2,0,77.29
126,1,3,Master,male,12.0,2,0,11.24
127,0,3,Mr,male,29.69911764705882,1,1,7.75
128,1,3,Mr,male,24.0,1,1,7.14
129,1,3,Miss,female,29.69911764705882,3,0,22.36
130,0,3,Mr,male,45.0,1,1,6.98
131,0,3,Mr,male,33.0,1,1,7.9
132,0,3,Mr,male,20.0,1,1,7.05
133,0,3,Mrs,female,47.0,2,0,14.5
134,1,2,Mrs,female,29.0,2,0,26.0
135,0,2,Mr,male,25.0,1,1,13.0
136,0,2,Mr,male,23.0,1,1,15.05
137,1,1,Miss,female,19.0,3,0,26.28
138,0,1,Mr,male,37.0,2,0,53.1
139,0,3,Mr,male,16.0,1,1,9.22
140,0,1,Mr,male,24.0,1,1,79.2
141,0,3,Mrs,female,29.69911764705882,3,0,15.25
142,1,3,Miss,female,22.0,1,1,7.75
143,1,3,Mrs,female,24.0,2,0,15.85
144,0,3,Mr,male,19.0,1,1,6.75
145,0,2,Mr,male,18.0,1,1,11.5
146,0,2,Mr,male,19.0,3,0,36.75
147,1,3,Mr,male,27.0,1,1,7.8
148,0,3,Miss,female,9.0,5,0,34.38
149,0,2,Mr,male,36.5,3,0,26.0
150,0,2,Rev,male,42.0,1,1,13.0
151,0,2,Rev,male,51.0,1,1,12.52
152,1,1,Mrs,female,22.0,2,0,66.6
153,0,3,Mr,male,55.5,1,1,8.05
154,0,3,Mr,male,40.5,3,0,14.5
155,0,3,Mr,male,29.69911764705882,1,1,7.31
156,0,1,Mr,male,51.0,2,0,61.38
157,1,3,Miss,female,16.0,1,1,7.73
158,0,3,Mr,male,30.0,1,1,8.05
159,0,3,Mr,male,29.69911764705882,1,1,8.66
160,0,3,Master,male,29.69911764705882,11,0,69.55
161,0,3,Mr,male,44.0,2,0,16.1
162,1,2,Mrs,female,40.0,1,1,15.75
163,0,3,Mr,male,26.0,1,1,7.78
164,0,3,Mr,male,17.0,1,1,8.66
165,0,3,Master,male,1.0,6,0,39.69
166,1,3,Master,male,9.0,3,0,20.52
167,1,1,Mrs,female,29.69911764705882,2,0,55.0
168,0,3,Mrs,female,45.0,6,0,27.9
169,0,1,Mr,male,29.69911764705882,1,1,25.92
170,0,3,Mr,male,28.0,1,1,56.5
171,0,1,Mr,male,61.0,1,1,33.5
172,0,3,Master,male,4.0,6,0,29.12
173,1,3,Miss,female,1.0,3,0,11.13
174,0,3,Mr,male,21.0,1,1,7.92
175,0,1,Mr,male,56.0,1,1,30.7
176,0,3,Mr,male,18.0,3,0,7.85
177,0,3,Master,male,29.69911764705882,5,0,25.47
178,0,1,Miss,female,50.0,1,1,28.71
179,0,2,Mr,male,30.0,1,1,13.0
180,0,3,Mr,male,36.0,1,1,0.0
181,0,3,Miss,female,29.69911764705882,11,0,69.55
182,0,2,Mr,male,29.69911764705882,1,1,15.05
183,0,3,Master,male,9.0,7,0,31.39
184,1,2,Master,male,1.0,4,0,39.0
185,1,3,Miss,female,4.0,3,0,22.02
186,0,1,Mr,male,29.69911764705882,1,1,50.0
187,1,3,Mrs,female,29.69911764705882,2,0,15.5
188,1,1,Mr,male,45.0,1,1,26.55
189,0,3,Mr,male,40.0,3,0,15.5
190,0,3,Mr,male,36.0,1,1,7.9
191,1,2,Mrs,female,32.0,1,1,13.0
192,0,2,Mr,male,19.0,1,1,13.0
193,1,3,Miss,female,19.0,2,0,7.85
194,1,2,Master,male,3.0,3,0,26.0
195,1,1,Mrs,female,44.0,1,1,27.72
196,1,1,Miss,female,58.0,1,1,146.52
197,0,3,Mr,male,29.69911764705882,1,1,7.75
198,0,3,Mr,male,42.0,2,0,8.4
199,1,3,Miss,female,29.69911764705882,1,1,7.75
200,0,2,Miss,female,24.0,1,1,13.0
201,0,3,Mr,male,28.0,1,1,9.5
202,0,3,Mr,male,29.69911764705882,11,0,69.55
203,0,3,Mr,male,34.0,1,1,6.5
204,0,3,Mr,male,45.5,1,1,7.22
205,1,3,Mr,male,18.0,1,1,8.05
206,0,3,Miss,female,2.0,2,0,10.46
207,0,3,Mr,male,32.0,2,0,15.85
208,1,3,Mr,male,26.0,1,1,18.79
209,1,3,Miss,female,16.0,1,1,7.75
210,1,1,Mr,male,40.0,1,1,31.0
211,0,3,Mr,male,24.0,1,1,7.05
212,1,2,Miss,female,35.0,1,1,21.0
213,0,3,Mr,male,22.0,1,1,7.25
214,0,2,Mr,male,30.0,1,1,13.0
215,0,3,Mr,male,29.69911764705882,2,0,7.75
216,1,1,Miss,female,31.0,2,0,113.28
217,1,3,Miss,female,27.0,1,1,7.92
218,0,2,Mr,male,42.0,2,0,27.0
219,1,1,Miss,female,32.0,1,1,76.29
220,0,2,Mr,male,30.0,1,1,10.5
221,1,3,Mr,male,16.0,1,1,8.05
222,0,2,Mr,male,27.0,1,1,13.0
223,0,3,Mr,male,51.0,1,1,8.05
224,0,3,Mr,male,29.69911764705882,1,1,7.9
225,1,1,Mr,male,38.0,2,0,90.0
226,0,3,Mr,male,22.0,1,1,9.35
227,1,2,Mr,male,19.0,1,1,10.5
228,0,3,Mr,male,20.5,1,1,7.25
229,0,2,Mr,male,18.0,1,1,13.0
230,0,3,Miss,female,29.69911764705882,5,0,25.47
231,1,1,Mrs,female,35.0,2,0,83.48
232,0,3,Mr,male,29.0,1,1,7.78
233,0,2,Mr,male,59.0,1,1,13.5
234,1,3,Miss,female,5.0,7,0,31.39
235,0,2,Mr,male,24.0,1,1,10.5
236,0,3,Miss,female,29.69911764705882,1,1,7.55
237,0,2,Mr,male,44.0,2,0,26.0
238,1,2,Miss,female,8.0,3,0,26.25
239,0,2,Mr,male,19.0,1,1,10.5
240,0,2,Mr,male,33.0,1,1,12.28
241,0,3,Miss,female,29.69911764705882,2,0,14.45
242,1,3,Miss,female,29.69911764705882,2,0,15.5
243,0,2,Mr,male,29.0,1,1,10.5
244,0,3,Mr,male,22.0,1,1,7.12
245,0,3,Mr,male,30.0,1,1,7.22
246,0,1,Dr,male,44.0,3,0,90.0
247,0,3,Miss,female,25.0,1,1,7.78
248,1,2,Mrs,female,24.0,3,0,14.5
249,1,1,Mr,male,37.0,3,0,52.55
250,0,2,Rev,male,54.0,2,0,26.0
251,0,3,Mr,male,29.69911764705882,1,1,7.25
252,0,3,Mrs,female,29.0,3,0,10.46
253,0,1,Mr,male,62.0,1,1,26.55
254,0,3,Mr,male,30.0,2,0,16.1
255,0,3,Mrs,female,41.0,3,0,20.21
256,1,3,Mrs,female,29.0,3,0,15.25
257,1,1,Mrs,female,29.69911764705882,1,1,79.2
258,1,1,Miss,female,30.0,1,1,86.5
259,1,1,Miss,female,35.0,1,1,512.33
260,1,2,Mrs,female,50.0,2,0,26.0
261,0,3,Mr,male,29.69911764705882,1,1,7.75
262,1,3,Master,male,3.0,7,0,31.39
263,0,1,Mr,male,52.0,3,0,79.65
264,0,1,Mr,male,40.0,1,1,0.0
265,0,3,Miss,female,29.69911764705882,1,1,7.75
266,0,2,Mr,male,36.0,1,1,10.5
267,0,3,Mr,male,16.0,6,0,39.69
268,1,3,Mr,male,25.0,2,0,7.78
269,1,1,Mrs,female,58.0,2,0,153.46
270,1,1,Miss,female,35.0,1,1,135.63
271,0,1,Mr,male,29.69911764705882,1,1,31.0
272,1,3,Mr,male,25.0,1,1,0.0
273,1,2,Mrs,female,41.0,2,0,19.5
274,0,1,Mr,male,37.0,2,0,29.7
275,1,3,Miss,female,29.69911764705882,1,1,7.75
276,1,1,Miss,female,63.0,2,0,77.96
277,0,3,Miss,female,45.0,1,1,7.75
278,0,2,Mr,male,29.69911764705882,1,1,0.0
279,0,3,Master,male,7.0,6,0,29.12
280,1,3,Mrs,female,35.0,3,0,20.25
281,0,3,Mr,male,65.0,1,1,7.75
282,0,3,Mr,male,28.0,1,1,7.85
283,0,3,Mr,male,16.0,1,1,9.5
284,1,3,Mr,male,19.0,1,1,8.05
285,0,1,Mr,male,29.69911764705882,1,1,26.0
286,0,3,Mr,male,33.0,1,1,8.66
287,1,3,Mr,male,30.0,1,1,9.5
288,0,3,Mr,male,22.0,1,1,7.9
289,1,2,Mr,male,42.0,1,1,13.0
290,1,3,Miss,female,22.0,1,1,7.75
291,1,1,Miss,female,26.0,1,1,78.85
292,1,1,Mrs,female,19.0,2,0,91.08
293,0,2,Mr,male,36.0,1,1,12.88
294,0,3,Miss,female,24.0,1,1,8.85
295,0,3,Mr,male,24.0,1,1,7.9
296,0,1,Mr,male,29.69911764705882,1,1,27.72
297,0,3,Mr,male,23.5,1,1,7.23
298,0,1,Miss,female,2.0,4,0,151.55
299,1,1,Mr,male,29.69911764705882,1,1,30.5
300,1,1,Mrs,female,50.0,2,0,247.52
301,1,3,Miss,female,29.69911764705882,1,1,7.75
302,1,3,Mr,male,29.69911764705882,3,0,23.25
303,0,3,Mr,male,19.0,1,1,0.0
304,1,2,Miss,female,29.69911764705882,1,1,12.35
305,0,3,Mr,male,29.69911764705882,1,1,8.05
306,1,1,Master,male,0.92,4,0,151.55
307,1,1,Miss,female,29.69911764705882,1,1,110.88
308,1,1,Mrs,female,17.0,2,0,108.9
309,0,2,Mr,male,30.0,2,0,24.0
310,1,1,Miss,female,30.0,1,1,56.93
311,1,1,Miss,female,24.0,1,1,83.16
312,1,1,Miss,female,18.0,5,0,262.38
313,0,2,Mrs,female,26.0,3,0,26.0
314,0,3,Mr,male,28.0,1,1,7.9
315,0,2,Mr,male,43.0,3,0,26.25
316,1,3,Miss,female,26.0,1,1,7.85
317,1,2,Mrs,female,24.0,2,0,26.0
318,0,2,Dr,male,54.0,1,1,14.0
319,1,1,Miss,female,31.0,3,0,164.87
320,1,1,Mrs,female,40.0,3,0,134.5
321,0,3,Mr,male,22.0,1,1,7.25
322,0,3,Mr,male,27.0,1,1,7.9
323,1,2,Miss,female,30.0,1,1,12.35
324,1,2,Mrs,female,22.0,3,0,29.0
325,0,3,Mr,male,29.69911764705882,11,0,69.55
326,1,1,Miss,female,36.0,1,1,135.63
327,0,3,Mr,male,61.0,1,1,6.24
328,1,2,Mrs,female,36.0,1,1,13.0
329,1,3,Mrs,female,31.0,3,0,20.52
330,1,1,Miss,female,16.0,2,0,57.98
331,1,3,Miss,female,29.69911764705882,3,0,23.25
332,0,1,Mr,male,45.5,1,1,28.5
333,0,1,Mr,male,38.0,2,0,153.46
334,0,3,Mr,male,16.0,3,0,18.0
335,1,1,Mrs,female,29.69911764705882,2,0,133.65
336,0,3,Mr,male,29.69911764705882,1,1,7.9
337,0,1,Mr,male,29.0,2,0,66.6
338,1,1,Miss,female,41.0,1,1,134.5
339,1,3,Mr,male,45.0,1,1,8.05
340,0,1,Mr,male,45.0,1,1,35.5
341,1,2,Master,male,2.0,3,0,26.0
342,1,1,Miss,female,24.0,6,0,263.0
343,0,2,Mr,male,28.0,1,1,13.0
344,0,2,Mr,male,25.0,1,1,13.0
345,0,2,Mr,male,36.0,1,1,13.0
346,1,2,Miss,female,24.0,1,1,13.0
347,1,2,Miss,female,40.0,1,1,13.0
348,1,3,Mrs,female,29.69911764705882,2,0,16.1
349,1,3,Master,male,3.0,3,0,15.9
350,0,3,Mr,male,42.0,1,1,8.66
351,0,3,Mr,male,23.0,1,1,9.22
352,0,1,Mr,male,29.69911764705882,1,1,35.0
353,0,3,Mr,male,15.0,3,0,7.23
354,0,3,Mr,male,25.0,2,0,17.8
355,0,3,Mr,male,29.69911764705882,1,1,7.22
356,0,3,Mr,male,28.0,1,1,9.5
357,1,1,Miss,female,22.0,2,0,55.0
358,0,2,Miss,female,38.0,1,1,13.0
359,1,3,Miss,female,29.69911764705882,1,1,7.88
360,1,3,Miss,female,29.69911764705882,1,1,7.88
361,0,3,Mr,male,40.0,6,0,27.9
362,0,2,Mr,male,29.0,2,0,27.72
363,0,3,Mrs,female,45.0,2,0,14.45
364,0,3,Mr,male,35.0,1,1,7.05
365,0,3,Mr,male,29.69911764705882,2,0,15.5
366,0,3,Mr,male,30.0,1,1,7.25
367,1,1,Mrs,female,60.0,2,0,75.25
368,1,3,Mrs,female,29.69911764705882,1,1,7.23
369,1,3,Miss,female,29.69911764705882,1,1,7.75
370,1,1,Mme,female,24.0,1,1,69.3
371,1,1,Mr,male,25.0,2,0,55.44
372,0,3,Mr,male,18.0,2,0,6.5
373,0,3,Mr,male,19.0,1,1,8.05
374,0,1,Mr,male,22.0,1,1,135.63
375,0,3,Miss,female,3.0,5,0,21.08
376,1,1,Mrs,female,29.69911764705882,2,0,82.17
377,1,3,Miss,female,22.0,1,1,7.25
378,0,1,Mr,male,27.0,3,0,211.5
379,0,3,Mr,male,20.0,1,1,4.01
380,0,3,Mr,male,19.0,1,1,7.78
381,1,1,Miss,female,42.0,1,1,227.52
382,1,3,Miss,female,1.0,3,0,15.74
383,0,3,Mr,male,32.0,1,1,7.92
384,1,1,Mrs,female,35.0,2,0,52.0
385,0,3,Mr,male,29.69911764705882,1,1,7.9
386,0,2,Mr,male,18.0,1,1,73.5
387,0,3,Master,male,1.0,8,0,46.9
388,1,2,Miss,female,36.0,1,1,13.0
389,0,3,Mr,male,29.69911764705882,1,1,7.73
390,1,2,Miss,female,17.0,1,1,12.0
391,1,1,Mr,male,36.0,4,0,120.0
392,1,3,Mr,male,21.0,1,1,7.8
393,0,3,Mr,male,28.0,3,0,7.92
394,1,1,Miss,female,23.0,2,0,113.28
395,1,3,Mrs,female,24.0,3,0,16.7
396,0,3,Mr,male,22.0,1,1,7.8
397,0,3,Miss,female,31.0,1,1,7.85
398,0,2,Mr,male,46.0,1,1,26.0
399,0,2,Dr,male,23.0,1,1,10.5
400,1,2,Mrs,female,28.0,1,1,12.65
401,1,3,Mr,male,39.0,1,1,7.92
402,0,3,Mr,male,26.0,1,1,8.05
403,0,3,Miss,female,21.0,2,0,9.82
404,0,3,Mr,male,28.0,2,0,15.85
405,0,3,Miss,female,20.0,1,1,8.66
406,0,2,Mr,male,34.0,2,0,21.0
407,0,3,Mr,male,51.0,1,1,7.75
408,1,2,Master,male,3.0,3,0,18.75
409,0,3,Mr,male,21.0,1,1,7.78
410,0,3,Miss,female,29.69911764705882,5,0,25.47
411,0,3,Mr,male,29.69911764705882,1,1,7.9
412,0,3,Mr,male,29.69911764705882,1,1,6.86
413,1,1,Miss,female,33.0,2,0,90.0
414,0,2,Mr,male,29.69911764705882,1,1,0.0
415,1,3,Mr,male,44.0,1,1,7.92
416,0,3,Mrs,female,29.69911764705882,1,1,8.05
417,1,2,Mrs,female,34.0,3,0,32.5
418,1,2,Miss,female,18.0,3,0,13.0
419,0,2,Mr,male,30.0,1,1,13.0
420,0,3,Miss,female,10.0,3,0,24.15
421,0,3,Mr,male,29.69911764705882,1,1,7.9
422,0,3,Mr,male,21.0,1,1,7.73
423,0,3,Mr,male,29.0,1,1,7.88
424,0,3,Mrs,female,28.0,3,0,14.4
425,0,3,Mr,male,18.0,3,0,20.21
426,0,3,Mr,male,29.69911764705882,1,1,7.25
427,1,2,Mrs,female,28.0,2,0,26.0
428,1,2,Miss,female,19.0,1,1,26.0
429,0,3,Mr,male,29.69911764705882,1,1,7.75
430,1,3,Mr,male,32.0,1,1,8.05
431,1,1,Mr,male,28.0,1,1,26.55
432,1,3,Mrs,female,29.69911764705882,2,0,16.1
433,1,2,Mrs,female,42.0,2,0,26.0
434,0,3,Mr,male,17.0,1,1,7.12
435,0,1,Mr,male,50.0,2,0,55.9
436,1,1,Miss,female,14.0,4,0,120.0
437,0,3,Miss,female,21.0,5,0,34.38
438,1,2,Mrs,female,24.0,6,0,18.75
439,0,1,Mr,male,64.0,6,0,263.0
440,0,2,Mr,male,31.0,1,1,10.5
441,1,2,Mrs,female,45.0,3,0,26.25
442,0,3,Mr,male,20.0,1,1,9.5
443,0,3,Mr,male,25.0,2,0,7.78
444,1,2,Ms,female,28.0,1,1,13.0
